EmployeeNumber,Attrition,EducationField,DistanceFromHome
909,No,"Life Sciences",2
910,No,"Human Resources",3
912,No,Medical,7
913,No,"Life Sciences",9
916,No,Medical,5
918,Yes,"Life Sciences",2
920,No,"Life Sciences",8
922,Yes,Medical,2
925,No,"Life Sciences",2
926,Yes,"Life Sciences",3
927,Yes,"Life Sciences",2
930,No,Medical,9
932,Yes,Medical,6
933,No,"Life Sciences",4
934,No,"Life Sciences",10
939,No,Other,1
940,No,"Technical Degree",5
941,No,"Life Sciences",7
944,No,Other,8
949,No,Other,7
950,No,"Technical Degree",1
951,No,"Life Sciences",1
954,No,Marketing,10
956,No,Medical,1
957,No,Medical,6
958,No,Medical,2
960,Yes,"Technical Degree",4
964,No,Medical,9
966,No,Medical,3
967,Yes,"Life Sciences",3
969,No,"Life Sciences",1
970,Yes,"Life Sciences",1
972,No,"Life Sciences",4
976,No,"Life Sciences",1
977,Yes,"Technical Degree",2
981,No,Medical,2
982,No,Other,8
983,No,"Technical Degree",10
984,No,"Life Sciences",3
985,No,"Life Sciences",2
990,No,"Technical Degree",8
991,Yes,Medical,9
994,Yes,"Life Sciences",10
996,No,Medical,1
997,No,Medical,1
998,No,Other,1
999,No,Medical,9
1003,No,"Life Sciences",4
1006,No,Medical,10
1007,No,Medical,7
1011,No,"Life Sciences",1
1012,No,"Life Sciences",5
1015,No,"Life Sciences",8
1017,Yes,Medical,5
1018,No,Medical,2
1019,No,"Life Sciences",8
1022,No,"Life Sciences",6
1024,No,"Life Sciences",4
1025,No,Medical,7
1026,No,"Life Sciences",1
1027,No,"Life Sciences",2
1028,No,Other,10
1029,No,Marketing,5
1030,No,"Life Sciences",9
1032,No,"Life Sciences",2
1035,No,"Life Sciences",7
1036,No,"Life Sciences",3
1038,Yes,Marketing,2
1040,No,"Life Sciences",1
1044,No,"Life Sciences",8
1047,No,Marketing,1
1048,No,"Technical Degree",1
1050,No,Marketing,2
1053,Yes,"Life Sciences",2
1055,No,"Life Sciences",10
1056,No,Medical,10
1060,No,Other,3
1061,No,Medical,2
1062,No,Other,3
1068,No,Medical,1
1069,No,Medical,1
1070,No,"Life Sciences",2
1071,No,Medical,9
1074,No,Medical,2
1077,Yes,Marketing,9
1079,Yes,"Life Sciences",10
1080,No,"Life Sciences",8
1081,Yes,"Life Sciences",4
1083,No,Medical,1
1085,No,"Technical Degree",7
1094,No,"Life Sciences",8
1096,No,"Life Sciences",2
1097,No,Other,10
1098,Yes,Medical,1
1099,No,"Life Sciences",5
1100,Yes,"Technical Degree",4
1103,No,"Life Sciences",3
1105,No,"Life Sciences",10
1106,Yes,"Technical Degree",4
1109,No,Medical,2
1111,Yes,Medical,1
1113,Yes,Other,1
1114,No,"Life Sciences",7
1115,No,"Life Sciences",3
1116,No,Medical,1
1117,No,"Life Sciences",9
1118,No,"Life Sciences",7
1119,No,Marketing,10
1121,No,Medical,3
1124,No,Marketing,3
1125,No,Marketing,2
1127,Yes,"Life Sciences",2
1131,No,"Technical Degree",1
1132,No,"Life Sciences",9
1136,No,"Life Sciences",2
1138,No,"Technical Degree",8
1140,No,"Life Sciences",2
1143,No,"Life Sciences",10
1150,No,Medical,8
1152,No,"Human Resources",1
1154,No,"Life Sciences",6
1156,Yes,Medical,8
1157,Yes,Marketing,9
1162,No,"Life Sciences",6
1163,No,"Life Sciences",9
1164,No,"Technical Degree",8
1166,No,Medical,9
1171,No,Marketing,4
1172,No,Medical,1
1177,No,Medical,3
1179,No,Marketing,10
1182,No,"Life Sciences",2
1184,No,Medical,1
1185,No,Other,4
1188,Yes,Marketing,9
1190,No,"Life Sciences",2
1191,No,"Technical Degree",4
1192,No,Medical,6
1193,No,"Life Sciences",9
1195,No,Medical,7
1196,No,"Life Sciences",1
1198,No,"Life Sciences",3
1200,Yes,"Life Sciences",10
1201,No,Medical,7
1203,Yes,"Life Sciences",3
1204,No,Marketing,2
1207,No,"Human Resources",2
1210,Yes,"Life Sciences",5
1212,No,Medical,2
1215,No,Medical,2
1221,No,"Life Sciences",6
1224,No,"Life Sciences",7
1228,No,"Technical Degree",2
1231,No,Medical,2
1233,No,Marketing,7
1235,No,"Life Sciences",2
1237,No,"Technical Degree",1
1238,No,Medical,9
1239,No,"Technical Degree",10
1240,No,"Life Sciences",10
1241,No,Medical,1
1243,No,Marketing,8
1245,No,"Life Sciences",1
1246,No,"Life Sciences",2
1248,Yes,Medical,10
1249,No,"Life Sciences",1
1250,No,"Life Sciences",3
1254,No,"Life Sciences",3
1255,No,"Life Sciences",3
1256,No,Medical,4
1257,No,"Technical Degree",3
1258,No,"Technical Degree",2
1259,No,"Life Sciences",4
1260,No,"Life Sciences",7
1263,No,"Life Sciences",1
1264,No,"Life Sciences",1
1267,No,Marketing,5
1268,No,Marketing,10
1270,No,"Life Sciences",1
1275,No,"Life Sciences",4
1277,Yes,Marketing,2
1278,No,Medical,8
1279,Yes,"Life Sciences",10
1280,No,Marketing,4
1281,No,Marketing,2
1282,No,"Life Sciences",9
1286,No,Medical,1
1288,No,"Life Sciences",4
1291,No,"Life Sciences",6
1292,No,Medical,7
1293,No,Marketing,4
1294,No,"Life Sciences",2
1296,No,"Life Sciences",2
1297,No,Medical,6
1298,No,Medical,9
1299,Yes,"Technical Degree",7
1301,No,"Technical Degree",1
1303,No,Medical,1
1304,No,Medical,8
1309,Yes,"Life Sciences",7
1311,No,"Technical Degree",6
1312,No,"Technical Degree",10
1314,No,"Life Sciences",1
1315,No,"Life Sciences",1
1319,Yes,"Life Sciences",5
1324,No,"Life Sciences",2
1329,No,Medical,10
1331,Yes,"Life Sciences",1
1333,Yes,"Life Sciences",3
1334,No,"Life Sciences",2
1336,No,Medical,2
1338,No,"Life Sciences",8
1344,No,"Life Sciences",9
1346,No,"Life Sciences",2
1349,No,Marketing,1
1350,No,"Life Sciences",4
1352,No,"Life Sciences",5
1355,No,"Life Sciences",2
1360,Yes,Medical,7
1361,No,"Life Sciences",1
1362,No,Marketing,7
1363,No,"Life Sciences",4
1368,No,"Life Sciences",1
1369,No,Medical,1
1371,No,"Life Sciences",2
1375,No,Medical,2
1379,Yes,"Life Sciences",2
1382,No,"Life Sciences",7
1383,No,"Technical Degree",2
1391,No,Marketing,2
1394,No,"Life Sciences",4
1395,No,"Life Sciences",5
1396,No,Marketing,2
1402,No,Medical,6
1403,No,Marketing,10
1407,No,Medical,2
1408,No,"Human Resources",10
1409,No,Other,8
1415,No,"Technical Degree",1
1417,No,Other,7
1422,No,Medical,1
1423,No,Medical,1
1424,No,Medical,1
1425,No,Marketing,3
1427,Yes,"Life Sciences",1
1428,No,Marketing,7
1430,No,"Life Sciences",8
1431,No,Other,1
1433,Yes,"Life Sciences",8
1435,No,"Life Sciences",4
1438,No,"Technical Degree",1
1439,Yes,"Life Sciences",9
1440,No,"Technical Degree",5
1441,No,"Life Sciences",1
1443,No,Medical,2
1445,No,Medical,4
1446,No,Marketing,7
1447,No,"Life Sciences",1
1448,No,Medical,5
1449,No,Other,9
1453,No,"Life Sciences",8
1457,Yes,Marketing,9
1458,Yes,"Life Sciences",2
1459,Yes,"Life Sciences",1
1461,No,Medical,8
1464,Yes,"Life Sciences",2
1466,No,Marketing,7
1467,Yes,"Technical Degree",9
1468,No,Medical,8
1469,No,Medical,5
1471,No,"Life Sciences",5
1472,No,Medical,2
1473,No,"Technical Degree",5
1474,No,Medical,2
1477,No,Medical,7
1478,No,Other,3
1480,No,Medical,9
1481,No,Marketing,1
1482,No,"Technical Degree",7
1483,No,"Life Sciences",1
1484,No,"Life Sciences",7
1486,Yes,"Technical Degree",1
1492,No,"Life Sciences",7
1494,Yes,Medical,9
1496,No,Medical,2
1499,No,"Life Sciences",1
1501,No,"Life Sciences",4
1502,No,Medical,4
1504,Yes,Medical,2
1506,No,"Life Sciences",1
1507,No,"Life Sciences",7
1509,No,Medical,3
1513,No,"Life Sciences",2
1515,No,"Life Sciences",8
1516,No,Medical,10
1522,Yes,"Technical Degree",1
1525,No,"Life Sciences",6
1527,No,"Life Sciences",3
1534,Yes,"Life Sciences",9
1535,No,"Technical Degree",1
1537,Yes,"Life Sciences",3
1541,No,"Technical Degree",7
1542,No,Medical,2
1544,No,Other,8
1547,No,"Life Sciences",2
1548,No,Medical,9
1550,No,Medical,6
1552,No,"Life Sciences",8
1553,No,"Technical Degree",1
1555,No,"Life Sciences",5
1556,No,"Life Sciences",2
1558,No,"Life Sciences",9
1560,No,"Life Sciences",8
1562,Yes,"Life Sciences",1
1563,No,"Human Resources",10
1564,No,Medical,1
1569,Yes,"Life Sciences",2
1572,Yes,"Technical Degree",2
1573,Yes,Medical,2
1574,No,"Technical Degree",1
1577,No,Medical,7
1580,No,"Life Sciences",1
1581,No,"Life Sciences",3
1585,No,"Life Sciences",1
1586,No,Medical,3
1587,No,Medical,10
1588,No,Medical,6
1590,No,"Life Sciences",2
1591,No,Marketing,9
1592,No,"Technical Degree",10
1594,No,"Life Sciences",6
1595,No,Other,9
1597,No,"Technical Degree",10
1601,No,"Life Sciences",7
1602,No,"Life Sciences",1
1607,No,Other,5
1608,No,Medical,7
1609,No,Medical,7
1611,No,Medical,5
1613,No,Other,2
1615,No,"Life Sciences",10
1618,No,Medical,10
1623,No,Medical,5
1624,Yes,Medical,3
1627,No,Medical,3
1630,No,"Life Sciences",8
1633,No,Medical,4
1635,No,Other,2
1638,No,Medical,2
1639,Yes,Medical,10
1640,No,Medical,10
1642,No,"Human Resources",1
1644,No,Medical,4
1646,No,"Technical Degree",2
1647,No,Medical,8
1648,No,Medical,2
1649,Yes,"Life Sciences",7
1650,No,Medical,10
1651,No,"Life Sciences",5
1653,No,"Life Sciences",2
1657,No,Medical,2
1658,No,"Life Sciences",3
1659,No,"Life Sciences",7
1661,No,"Life Sciences",6
1662,No,Medical,1
1664,No,"Life Sciences",3
1668,No,"Life Sciences",1
1669,No,Medical,5
1670,No,Medical,2
1671,No,Medical,2
1673,No,"Life Sciences",5
1675,No,Medical,2
1676,No,"Life Sciences",2
1677,No,"Life Sciences",1
1680,No,"Life Sciences",9
1683,No,"Life Sciences",1
1684,Yes,Medical,8
1687,No,Medical,4
1691,Yes,Medical,7
1692,Yes,"Life Sciences",2
1693,No,Medical,7
1696,No,Medical,5
1697,No,Medical,1
1700,No,Medical,1
1702,Yes,"Life Sciences",7
1703,No,"Life Sciences",2
1704,No,Medical,2
1706,No,Medical,2
1707,No,Medical,9
1708,No,Marketing,6
1709,No,Medical,9
1710,No,"Life Sciences",2
1712,No,"Life Sciences",1
1716,Yes,"Life Sciences",9
1720,No,"Life Sciences",10
1721,No,"Life Sciences",2
1722,No,"Human Resources",4
1724,No,"Life Sciences",8
1731,No,Marketing,2
1732,No,"Life Sciences",2
1734,Yes,"Life Sciences",1
1735,No,Medical,4
1737,No,"Life Sciences",1
1740,No,Medical,7
1744,No,"Life Sciences",4
1745,No,"Technical Degree",2
1746,No,Medical,10
1747,Yes,"Human Resources",8
1749,No,"Technical Degree",5
1751,No,Medical,8
1752,Yes,Marketing,9
1753,No,"Life Sciences",1
1755,No,Medical,2
1756,No,Marketing,2
1760,No,Medical,2
1762,No,"Technical Degree",4
1764,No,"Technical Degree",5
1770,No,Medical,2
1771,No,"Technical Degree",4
1772,No,"Life Sciences",9
1774,No,"Life Sciences",10
1775,No,Medical,1
1778,No,"Life Sciences",2
1779,No,"Life Sciences",3
1780,Yes,Marketing,7
1782,No,Other,6
1783,Yes,Medical,8
1786,No,"Technical Degree",3
1787,No,Marketing,9
1789,No,Medical,2
1790,No,"Life Sciences",10
1792,Yes,Medical,1
1794,No,Other,8
1798,No,"Life Sciences",8
1799,No,"Life Sciences",1
1800,No,Medical,10
1802,No,"Life Sciences",2
1804,No,Medical,2
1805,No,"Human Resources",2
1807,Yes,"Life Sciences",9
1809,Yes,Medical,10
1813,No,"Life Sciences",9
1814,No,"Life Sciences",5
1815,No,Marketing,4
1816,No,Medical,10
1822,No,"Life Sciences",1
1823,No,"Technical Degree",8
1824,No,Medical,2
1827,No,"Life Sciences",4
1830,No,Medical,7
1833,No,Marketing,7
1834,No,Medical,1
1835,No,Marketing,2
1836,No,Medical,10
1845,No,"Life Sciences",2
1847,No,Other,2
1849,No,"Life Sciences",2
1850,No,"Life Sciences",5
1853,No,Marketing,10
1854,No,"Technical Degree",10
1856,No,"Life Sciences",9
1857,No,"Life Sciences",2
1858,No,"Life Sciences",1
1860,No,"Life Sciences",8
1862,Yes,Marketing,2
1863,No,"Technical Degree",3
1865,No,Medical,6
1866,No,Medical,6
1867,No,"Life Sciences",10
1869,Yes,"Life Sciences",10
1873,No,"Technical Degree",2
1875,No,Medical,3
1876,Yes,Medical,9
1878,Yes,"Life Sciences",7
1880,No,"Technical Degree",10
1882,No,"Life Sciences",4
1883,No,"Life Sciences",7
1885,No,Medical,7
1890,No,"Human Resources",2
1892,No,"Life Sciences",1
1893,No,"Life Sciences",1
1898,No,Medical,2
1903,No,"Life Sciences",1
1909,No,Marketing,8
1911,No,Medical,6
1912,No,Medical,10
1915,No,Medical,3
1916,No,Medical,4
1918,No,Other,6
1922,No,Medical,1
1924,No,Marketing,10
1927,No,"Life Sciences",1
1931,No,"Technical Degree",2
1936,No,Medical,9
1937,No,Medical,8
1939,Yes,"Life Sciences",5
1940,No,"Life Sciences",9
1941,No,"Life Sciences",2
1948,No,Medical,3
1949,No,"Life Sciences",9
1950,No,Marketing,1
1952,No,Medical,1
1954,No,"Life Sciences",1
1956,No,"Life Sciences",1
1961,No,"Life Sciences",1
1962,No,"Life Sciences",7
1965,No,Marketing,9
1966,No,"Life Sciences",5
1969,No,"Life Sciences",9
1970,No,"Life Sciences",7
1972,No,Other,1
1974,No,Medical,2
1979,No,Medical,10
1980,No,Medical,10
1981,No,"Life Sciences",1
1986,No,Marketing,2
1987,No,"Human Resources",2
1989,No,Medical,1
1992,No,Other,2
1994,No,Medical,1
1995,No,"Life Sciences",1
1996,No,"Life Sciences",2
1997,No,"Life Sciences",6
1999,No,"Life Sciences",1
2000,No,Medical,1
2007,No,"Life Sciences",1
2008,No,Medical,9
2012,No,"Life Sciences",1
2013,No,Medical,1
2015,No,Medical,10
